The dragon roars and the earth shakes beneath your boots.
Steel your heart, brave warrior, and face the goblin king.
A dark shadow falls across the land as the beast wakes.
Grip your blade and stand firm against the coming storm.
The ancient evil stirs from sleep and your quest begins now.
The fire beast rises from the pit and blocks your path.
Hold your ground and let your courage guide you to victory.
The goblin horde charges down the hill with sharp spears raised.
One lone warrior stands against the growing tide of dark forces.
Deep in the cave, something ancient and very hungry stirs awake.
Your heart pounds as the iron gate crashes open before you.
Raise your shield and brace for the creature's first heavy blow.
The dark sorcerer laughs from his tower as his beasts march.
Every step brings you closer to the final boss waiting ahead.
The cave troll swings its club and you roll to safety.
Somewhere in the dark, a dragon waits to test your courage.
The beast growls and bares its teeth as you stand tall.
You must be brave and face the darkness that lies ahead.
The fortress gates swing open and the dark lord steps forward.
The skeleton army rises from the ground and blocks your path.
Brace yourself, hero, for the final battle is about to begin.
The swamp witch cackles and sends her beasts to fight you.
Do not look back now, warrior, just press on to victory.
Your sword glows bright as you enter the cursed dungeon halls.
The monster roars and the torches flicker in the cold wind.
